Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Louisiana,"Healthcare setting, dead on arrival",,39,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Louisiana,Decedent's home,724,21113,437,211,,953,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Louisiana,Hospice facility,116,2823,129,56,,190,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Louisiana,Nursing home/long term care facility,368,7137,305,136,0,537,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Louisiana,Other,86,3991,58,29,0,115,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Louisiana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Louisiana,Total - All Places of Death,3102,52301,3022,1352,88,4857,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Louisiana,"Healthcare setting, inpatient",1832,14651,2223,1041,57,3069,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Louisiana,"Healthcare setting, outpatient or emergency room",171,3548,159,60,11,281,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Louisiana,"Healthcare setting, dead on arrival",0,45,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Louisiana,Decedent's home,519,20067,324,128,13,727,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Louisiana,Hospice facility,93,2699,86,33,,147,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Louisiana,Nursing home/long term care facility,444,7582,202,81,,571,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Louisiana,Other,43,3709,26,,0,60,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Louisiana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Louisiana,Total - All Places of Death,324,9736,445,103,18,683,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Louisiana,"Healthcare setting, inpatient",156,2542,311,73,15,408,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Louisiana,"Healthcare setting, outpatient or emergency room",18,568,25,,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Louisiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Louisiana,Decedent's home,54,3905,43,11,0,86,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Louisiana,Hospice facility,18,651,27,,,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Louisiana,Nursing home/long term care facility,76,1614,34,,,102,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Louisiana,Other,,453,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Louisiana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maine,Total - All Places of Death,465,15620,1023,108,37,1417,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maine,"Healthcare setting, inpatient",208,3447,584,76,26,742,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maine,"Healthcare setting, outpatient or emergency room",,458,29,,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maine,"Healthcare setting, dead on arrival",,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maine,Decedent's home,26,5760,146,,,167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maine,Hospice facility,,1641,55,0,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maine,Nursing home/long term care facility,211,3378,195,21,,388,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maine,Other,,923,13,0,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maine,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maine,Total - All Places of Death,1433,17129,1274,422,,2288,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maine,"Healthcare setting, inpatient",831,4206,865,350,0,1346,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maine,"Healthcare setting, outpatient or emergency room",37,572,23,,,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maine,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maine,Decedent's home,144,6473,129,19,0,254,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maine,Hospice facility,34,1652,76,,0,101,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maine,Nursing home/long term care facility,369,3272,167,38,,499,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maine,Other,15,934,14,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maine,Place of death unknown,,11,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maine,Total - All Places of Death,1048,17145,1176,256,58,2023,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maine,"Healthcare setting, inpatient",526,4196,757,177,30,1134,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maine,"Healthcare setting, outpatient or emergency room",32,583,32,,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maine,"Healthcare setting, dead on arrival",0,10,0,0,0,0,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maine,Decedent's home,160,6239,164,38,,288,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maine,Hospice facility,56,1684,76,13,,126,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maine,Nursing home/long term care facility,262,3398,133,19,14,390,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maine,Other,11,1028,14,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maine,Place of death unknown,,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maine,Total - All Places of Death,174,4508,310,44,38,477,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maine,"Healthcare setting, inpatient",75,1053,204,29,17,267,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maine,"Healthcare setting, outpatient or emergency room",,149,10,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maine,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maine,Decedent's home,16,1578,27,,,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maine,Hospice facility,19,514,24,,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maine,Nursing home/long term care facility,57,983,42,,12,105,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maine,Other,,226,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maine,Place of death unknown,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maryland,Total - All Places of Death,6731,59644,5857,2583,151,10138,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maryland,"Healthcare setting, inpatient",3756,15353,3770,1893,109,5728,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maryland,"Healthcare setting, outpatient or emergency room",272,4025,187,44,,422,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maryland,"Healthcare setting, dead on arrival",,73,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maryland,Decedent's home,340,19115,360,70,,638,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maryland,Hospice facility,512,5931,725,242,12,1006,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maryland,Nursing home/long term care facility,1601,9166,644,288,14,1968,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maryland,Other,246,5981,166,45,,368,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Maryland,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maryland,Total - All Places of Death,6101,57476,5700,2803,11,9008,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maryland,"Healthcare setting, inpatient",4019,15934,3909,2206,,5724,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maryland,"Healthcare setting, outpatient or emergency room",190,3931,158,38,,311,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maryland,"Healthcare setting, dead on arrival",,64,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maryland,Decedent's home,592,18678,414,120,,888,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maryland,Hospice facility,413,5663,675,246,,844,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maryland,Nursing home/long term care facility,640,7270,386,141,,886,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maryland,Other,242,5936,157,52,,349,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Maryland,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maryland,Total - All Places of Death,4310,55581,4513,1577,118,7346,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maryland,"Healthcare setting, inpatient",2218,14257,2790,1082,64,3979,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maryland,"Healthcare setting, outpatient or emergency room",196,3654,143,27,13,324,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maryland,"Healthcare setting, dead on arrival",0,50,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maryland,Decedent's home,589,18177,404,124,18,884,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maryland,Hospice facility,508,6069,642,203,11,956,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maryland,Nursing home/long term care facility,584,7416,375,104,,862,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maryland,Other,215,5958,156,37,,338,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Maryland,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maryland,Total - All Places of Death,665,13875,992,197,41,1495,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maryland,"Healthcare setting, inpatient",242,3421,651,121,21,791,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maryland,"Healthcare setting, outpatient or emergency room",19,799,22,,,42,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maryland,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maryland,Decedent's home,112,4521,77,14,,180,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maryland,Hospice facility,106,1712,139,35,,217,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maryland,Nursing home/long term care facility,141,2020,81,19,,204,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maryland,Other,45,1393,22,,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Maryland,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Massachusetts,Total - All Places of Death,10221,68930,7590,3789,214,14227,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Massachusetts,"Healthcare setting, inpatient",5211,21842,5292,2822,153,7831,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Massachusetts,"Healthcare setting, outpatient or emergency room",244,4581,210,60,11,402,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Massachusetts,"Healthcare setting, dead on arrival",10,556,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Massachusetts,Decedent's home,335,19477,422,74,19,701,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Massachusetts,Hospice facility,48,3034,168,29,12,199,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Massachusetts,Nursing home/long term care facility,4054,15250,1375,764,18,4681,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Massachusetts,Other,319,4190,119,39,,400,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Massachusetts,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Massachusetts,Total - All Places of Death,5578,63956,5797,2859,21,8534,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Massachusetts,"Healthcare setting, inpatient",4034,21478,4547,2499,16,6095,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Massachusetts,"Healthcare setting, outpatient or emergency room",215,4413,140,46,,311,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Massachusetts,"Healthcare setting, dead on arrival",11,631,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Massachusetts,Decedent's home,435,19937,413,115,,735,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Massachusetts,Hospice facility,76,3077,141,30,0,187,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Massachusetts,Nursing home/long term care facility,680,10515,470,140,0,1010,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Massachusetts,Other,127,3904,82,28,,182,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Massachusetts,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Massachusetts,Total - All Places of Death,4330,64185,4780,1689,208,7614,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Massachusetts,"Healthcare setting, inpatient",2608,21275,3639,1411,150,4975,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Massachusetts,"Healthcare setting, outpatient or emergency room",201,4543,160,40,13,333,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Massachusetts,"Healthcare setting, dead on arrival",,610,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Massachusetts,Decedent's home,546,19477,361,103,13,817,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Massachusetts,Hospice facility,90,2964,118,19,,192,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Massachusetts,Nursing home/long term care facility,737,11226,436,101,19,1089,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Massachusetts,Other,142,4089,62,15,,196,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Massachusetts,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Massachusetts,Total - All Places of Death,780,16714,1166,256,97,1777,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Massachusetts,"Healthcare setting, inpatient",416,5629,851,191,68,1137,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Massachusetts,"Healthcare setting, outpatient or emergency room",24,1033,38,,,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Massachusetts,"Healthcare setting, dead on arrival",0,164,0,0,0,0,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Massachusetts,Decedent's home,88,4815,107,21,,182,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Massachusetts,Hospice facility,34,883,38,12,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Massachusetts,Nursing home/long term care facility,180,3071,112,19,13,285,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Massachusetts,Other,38,1119,20,,,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Massachusetts,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Michigan,Total - All Places of Death,12342,115487,11591,6090,284,18113,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Michigan,"Healthcare setting, inpatient",8451,34414,8985,5192,212,12445,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Michigan,"Healthcare setting, outpatient or emergency room",444,6593,453,174,14,737,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Michigan,"Healthcare setting, dead on arrival",,149,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Michigan,Decedent's home,834,43078,808,220,21,1443,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Michigan,Hospice facility,386,8751,279,76,,592,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Michigan,Nursing home/long term care facility,2121,18534,961,382,30,2727,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Michigan,Other,101,3958,103,45,,163,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Michigan,Place of death unknown,0,10,0,0,0,0,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Michigan,Total - All Places of Death,14945,116049,13128,8400,26,19693,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Michigan,"Healthcare setting, inpatient",10744,37177,10656,7294,17,14117,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Michigan,"Healthcare setting, outpatient or emergency room",678,7286,556,270,,965,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Michigan,"Healthcare setting, dead on arrival",,250,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Michigan,Decedent's home,1857,43716,1000,489,,2373,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Michigan,Hospice facility,337,8125,202,62,0,477,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Michigan,Nursing home/long term care facility,1161,15414,598,226,,1536,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Michigan,Other,161,4067,112,59,0,214,
04/12/2023,01/01/2021,12/31/2021,By Year,2021,,Michigan,Place of death unknown,,14,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Michigan,Total - All Places of Death,8096,108914,8167,3426,212,13036,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Michigan,"Healthcare setting, inpatient",4652,31887,6134,2679,155,8252,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Michigan,"Healthcare setting, outpatient or emergency room",429,6710,397,146,12,690,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Michigan,"Healthcare setting, dead on arrival",,253,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Michigan,Decedent's home,1489,41471,835,339,28,2012,
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Michigan,Hospice facility,424,9126,197,66,,560,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Michigan,Nursing home/long term care facility,1027,15680,519,174,,1381,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Michigan,Other,70,3772,81,22,,132,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,12/31/2022,By Year,2022,,Michigan,Place of death unknown,0,15,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Michigan,Total - All Places of Death,1032,26440,1645,324,142,2488,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Michigan,"Healthcare setting, inpatient",443,7355,1215,228,82,1510,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Michigan,"Healthcare setting, outpatient or emergency room",48,1572,89,20,13,130,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Michigan,"Healthcare setting, dead on arrival",0,86,0,0,0,0,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Michigan,Decedent's home,239,10103,180,46,24,392,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Michigan,Hospice facility,104,2514,61,15,,159,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Michigan,Nursing home/long term care facility,192,4008,77,12,14,271,
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Michigan,Other,,790,23,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2023,04/08/2023,By Year,2023,,Michigan,Place of death unknown,0,12,0,0,0,0,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Minnesota,Total - All Places of Death,5834,52186,4558,1967,154,8574,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Minnesota,"Healthcare setting, inpatient",2400,12627,2664,1321,97,3837,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Minnesota,"Healthcare setting, outpatient or emergency room",95,1832,92,32,,156,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Minnesota,"Healthcare setting, dead on arrival",,50,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Minnesota,Decedent's home,485,17077,526,104,18,925,
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Minnesota,Hospice facility,28,1612,76,10,,98,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2020,12/31/2020,By Year,2020,,Minnesota,Nursing home/long term care facility,2734,16282,1122,483,32,3403,
